Country,GDP per capita,average Internet connexion speed,alchool consumption per capita,homocide rate,Military % of GDP,HDI,Democracy index,Equivalent to a 2-year degree or higher (%),Importance of religion,% Christian,Muslim percentage of total population,Buddhist population,Jewish population,"2019 mortality rate, under-5 (per 1000 live births)",Age of crime responsibility,minimum wage,external debt,income equality,total health expenditure,suicide rate,Fertility rate,tabacco consumption,Obesity rate,number of internet users,Median age,economic freedom,Oil production per capita,population growth rate,Life expectancy at birth,meat consumption (Kg per capita),incarceration rate per 10000,literacy rate,Women's age first marriage,Expenditure on education(% of GDP),"Homelessper 10,000",Milk consumption 2013 (kg/capita/yr),Papers per capita in ppm (2018),books published,kilocalories,"Average yearly temperature (1961-1990, Celsius)"
Bhutan,3361,,0.6,1.2,,0.65,5.71,,,0.01,0.2,0.75,,28.5,10,639,108,37.4,322,5.1,1.95,,6.4,0.52,29.1,62.9,,1.18,73.1,3,145,14.9,22.8,6.6,0,,70.26,,,7.4
Bolivia,3552,,4.8,6.2,,0.72,5.08,,0.89,0.89,0.1,0,0,26,14,4071,33,42.2,496,6.8,2.69,,20.2,0.43,25.3,42.3,5334,1.47,72.1,50,164,67.5,24.1,7.3,,46.04,9.07,1578,2100,21.55
Bonaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,6109,44.85,6.4,1.2,,0.78,4.84,,0.77,0.46,50.7,,0,5.9,14,2789,23,33,1301,8.3,1.25,46.3,17.9,0.7,43.3,61.9,,-0.22,76.8,21.4,83,86,27.1,,20,174.03,211.8,,3080,9.85
Botswana,7961,,8.4,15.2,,0.74,7.62,,0.77,0.72,0.4,0,0,41.6,,1993,8,53.3,1089,20.2,2.84,32.1,18.9,0.42,25.7,69.5,,1.79,62.2,27.3,208,40.7,26.4,7.8,,117.74,124.66,158,2230,21.5
Brazil,8755,90.3,7.8,27.4,1.4,0.77,6.92,16,0.87,0.9,0.36,0,0.59,11,12,3625,38,53.9,1531,6.4,1.65,32.8,22.1,0.76,33.2,51.9,12113,0.75,75.9,82.4,357,74.3,30,6.2,10,149.28,287.15,46829,3120,24.95
British Virgin Islands,48511,,,8.3,,,,,,0.94,1.2,,,,,,2,,,,,,,0.49,37.2,,,,,,447,,,,,,,,,
Brunei,31086,,0.4,0.5,,0.84,,,,0.07,80.9,0.09,,11.4,,,0,,1953,2.5,1.82,17.4,14.1,0.95,31.1,65.1,257959,1.25,74.3,,186,61.6,25.1,4.4,,70.47,685.37,91,2980,26.85
Bulgaria,9703,78.84,12.7,1.3,,0.82,6.71,,0.34,0.85,13.4,0,0.01,6.7,14,4596,63,40.4,1634,6.5,1.58,49.6,25,0.64,43.7,69,140,-0.67,75.1,69.4,109,97.5,26.9,4.1,,155.71,469.54,10068,2760,10.55
Burkina Faso,787,,8.2,1.3,,0.45,3.73,,0.88,0.22,63.2,0,,87.5,,710,26,35.3,112,14.4,5.11,29.9,5.6,0.15,17.9,59.4,,2.87,62.7,11.2,37,8.4,17.9,4.2,335,29.79,12.76,12,2690,28.29
Burma,,,,,,,,,,,4.3,,,,,,,,,,,,,,29.2,,,,,,,,,,,,,,,
Burundi,260,,7.5,6.1,,0.43,2.14,,0.98,0.75,10,,,56.5,15,,26,38.6,66,12.1,5.32,20.6,5.4,0.05,17.7,48.9,,3.15,63.8,3.5,96,24.9,20.3,4.8,,4.6,2,,1680,19.8
Ivory Coast,2276,49.33,8.4,,,0.54,4.11,0.88,,0.33,42.9,0,,79.3,10,750,24,41.5,176,15.7,4.59,20.4,10.3,0.43,20.3,62.4,1265,2.49,62.9,11.3,82,18,19.5,5.1,117,6.36,9.89,,2500,26.35
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,0.57,26.8,63.1,,,,,,,,,,,,,,
Cambodia,1644,,6.7,1.8,,0.59,3.1,,0.96,0.01,2,0.98,,26.6,14,,57,,261,5.5,2.48,44.4,3.9,0.34,26.4,57.8,,1.49,70.1,13.9,220,53.1,21,1.9,,3.47,8.99,,2180,26.8
Cameroon,1534,,8.9,1.4,,0.56,2.77,,0.96,0.71,30,0,,74.8,,743,24,46.6,134,15.9,4.51,10.2,11.4,0.22,18.5,52.4,3983,2.56,62.4,14.4,124,26.1,19,3.1,389,15.27,34.74,,2240,24.6
Canada,46550,167.61,8.9,1.8,1.4,0.93,9.24,59,0.42,0.67,3.2,0.01,2.5,4.9,12,21477,143,33.8,5200,10.3,1.47,37.9,29.4,0.92,41.8,77.7,100931,0.9,82.2,108.1,104,,29.6,5.5,10,187.77,1617.5,14625,3530,-5.35
Cape Verde,3604,,5.7,6.8,,0.67,7.65,,,0.89,2,,,14.9,16,1584,99,47.2,400,15.2,2.24,,11.8,,,,,1.25,74,26.3,296,36.8,21.5,5.2,,115.64,16.55,,2530,23.3
Caribbean Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Cayman Islands,92692,,,8.2,,,,,,0.74,0.2,,,,,,7,,,,,,,0.78,40.5,,,,,,312,94.7,,,,,,,,
Central African Republic,468,,3.3,20.1,,0.4,1.32,,0.94,0.8,15,,,110.1,,777,39,56.2,97,23,4.65,,7.5,0.04,20,49.1,,1.58,53.1,28,16,35.7,17.4,1.2,1421,13.53,4.29,,1960,24.9
Chad,707,,1.5,,,0.4,1.55,,0.95,0.35,58,0,,113.8,,1229,18,43.3,79,13.2,5.65,15.4,6.1,0.06,16.1,49.9,7393,3.01,59.6,14.3,59,7,16,2.9,209,20.63,0.97,,2010,26.55
Channel Islands,,,,0,,,,,,,,,,,,,,,,,1.51,,,,,,,,,,,,,,,,,,,
Chile,14896,176.48,9.3,4.4,,0.85,8.28,27,0.7,0.68,0.1,0,0.12,7,14,5753,82,44.4,2306,8,1.63,53.4,28,0.79,35.5,75.4,247,0.78,80.7,66.4,210,89.9,32.6,5.4,7.4,116.11,380.26,5641,2960,8.45
China,10004,172.95,7.2,0.5,1.7,0.76,2.27,35.8,,,1.73,0.18,0.02,7.9,12,1945,29,38.5,935,6.7,1.7,29.2,6.2,0.71,38.4,58.4,2836,0.39,77.4,52.4,121,73.9,24.9,4,18,32.66,370.02,208418,2990,6.95
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos (Keeling) Islands,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,6432,53.73,5.8,25.3,,0.77,7.04,27,0.83,0.92,0.2,0,0.01,13.8,14,4427,57,50.4,1155,3.7,1.79,16.8,22.3,0.62,31.2,67.3,18452,0.81,79.3,33.9,194,81.4,22.3,4.5,971,108.47,144.88,17066,2690,24.5
Comoros,1370,,0.9,,,0.55,3.09,,0.97,0.02,98.3,,,62.9,,1502,21,45.3,134,8.5,4.14,43.7,7.8,0.08,20.9,55.4,,2.24,67.4,7.6,27,12.8,20.4,2.5,,11.15,3.6,,1840,25.55
Congo,2304,,7.8,,,0.48,1.13,,0.94,0.92,2,0,,47.8,,265,13,48.9,125,11.6,4.37,11.2,6.7,0.09,16.7,50.3,,2.59,64.7,4.8,27,73.1,21,4.6,595,10.69,1.77,64,2570,24
Congo-Brazzaville ,,,,,,,,,,,,,,,,,,,,,,,,,,,60168,,,,,,,,,,,,,
Congo-Kinshasa,,,,,,,,,,,,,,,,,,,,,,,,,,,254,,,,,,,,,,,,,
Cook Islands,21603,,10.6,,,,,,,0.86,0.1,,,,,,23,,752,,,43.6,55.9,,38.3,,,,,,224,,,,,,,,,
DR Congo,545,,2.6,,,,,,,,10,,0,84.8,14,,,42.1,31,12.4,5.82,,,,,,,3.22,62.4,,29,48,19,,,,,,,
Costa Rica,12238,47.93,4.8,11.3,,0.81,8.16,28,0.79,0.82,0.1,0,0.02,8.6,12,6496,43,48,1337,7.6,1.74,18.2,25.7,0.7,32.6,65.3,,0.96,80.8,40.4,374,90.4,25.7,7.4,6.6,183.28,101.41,2158,2820,24.8
Croatia,14627,57.3,8.9,0.6,,0.85,6.5,,0.7,0.9,1.5,0,0.01,4.8,14,6795,89,30.4,1876,11,1.47,34.9,24.4,0.68,43.9,61.4,3223,-0.58,78.6,49.9,84,97.1,28.1,4.6,7,231.02,1029.01,,2990,10.9
Cuba,9296,,6.1,5,,0.78,2.84,,0.34,0.65,0.1,0,0,5.1,16,1050,34,,2519,10.2,1.6,47.5,24.6,0.5,42.1,27.8,4357,0.06,77.8,32.2,510,99.2,21.3,12.9,0,99.94,85.46,992,3420,25.2
Curaçao,18980,,,19,,,,,,,,,,,,,,,,,1.6,,,,36.7,,,,,,236,,,,,,,,,
Cyprus,28285,50.46,10.8,1.3,,0.89,7.56,,0.75,0.79,25.3,0,0,2.3,14,,849,31.4,2625,3.2,1.32,42.5,21.8,0.8,37.9,68.1,,0.78,83.1,131.3,86,93.8,29,6.4,,113.31,1063.99,930,3190,18.45
Czech Republic,23452,85.89,14.4,0.6,,0.9,7.67,31,0.21,0.34,0.15,0,0.03,3.2,15,7918,76,24.9,3041,9.5,1.71,34.8,26,0.78,43.3,73.7,220,0.06,79.1,77.3,179,,29.8,5.6,22,195.2,1460.48,17330,3280,7.55
Denmark,60657,210.71,10.4,1,,0.94,9.15,44,0.19,0.79,5.4,0,0.04,3.8,15,,158,28.7,5794,7.6,1.7,37.6,19.7,0.94,42,76.7,24369,0.38,81.3,145.9,68,,32,7.6,11,277.3,2430.23,13096,3410,7.5
Djibouti,3252,,0.5,,,0.52,2.71,,0.98,0.06,97,,,57.5,,,71,44.6,135,11.9,2.68,,13.5,0.56,24.9,47.1,,1.51,65.8,17.1,71,,26.9,8.4,,59.81,6.26,,2300,28
Dominica,8111,37.62,8.2,26.6,,0.74,,,,0.89,0.2,0,,34.7,,3081,55,,710,,1.9,,27.9,0.72,34.9,63.6,,0.51,,67.1,262,,32.5,3.4,,136.93,181.5,,3090,22.35
Dominican Republic,8282,,6.9,10,,0.76,6.32,,0.87,0.83,0.1,0,0,28,,2915,36,43.7,1018,5.1,2.32,18.9,27.8,0.66,27.9,61,,1.07,72.8,37.8,243,79.8,21,4.3,,73.75,4.61,1866,2270,24.55
East Timor,1561,,2.1,4.1,,0.61,,,,0.99,0.1,,,44.2,,,,28.7,353,4.5,3.95,54.4,,0.28,19.6,,47839,2.14,69.6,,52,11.2,20.6,,,10.96,,,,
Eastern Mediterranean,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,69.7,,,,,,,,,,,
Ecuador,6184,,4.4,5.8,,0.76,6.13,,0.82,0.94,0.1,0,0,14,12,5525,57,45.4,955,7.7,2.4,,19.9,0.56,28.8,46.9,33470,1.42,78.4,45,224,77.7,21.8,5,,139.6,125.38,2854,2300,21.85
Egypt,3161,39.66,0.4,2.6,,0.71,2.93,,0.97,0.1,92.35,0,0,20.3,12,,34,31.5,614,3.4,3.28,21.5,32,0.56,24.1,52.5,6860,1.87,71.8,22.5,116,43.2,25,3.8,1200,59.46,135.41,12000,3160,22.1
El Salvador,4187,,3.7,52,,0.67,5.9,,,0.82,0.28,0,0,13.3,12,3650,56,38.6,592,6.1,2.02,19.1,24.6,0.31,27.7,61.8,,0.52,75,21.4,572,65.7,22.5,3.8,,124.34,7.01,661,2580,24.45
England and Wales,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,
Equatorial Guinea,8130,,11.3,,,0.59,1.92,,,0.89,10,,,81.8,16,2643,12,,697,13.5,4.43,,8,0.25,20.3,41,125068,3.59,62.2,,63,67.2,20.5,0.6,,,2.29,,,24.55
Eritrea,567,,1.3,,,0.46,2.15,,,0.67,43.8,,,40.5,,,15,,74,17.3,4,12.8,5,0.02,20.3,38.9,,2.28,64.1,7.7,,20.9,17.4,2.1,,11.57,6.08,970,1590,25.5
Estonia,23740,78.58,11.6,2.1,,0.89,7.84,41,0.16,0.45,0.1,0,0.01,2.4,14,7626,89,30.4,2428,12,1.66,41.1,21.2,0.87,43.7,76.6,,-0.23,78.9,67.4,173,99.7,29,5.2,15.2,284.85,1069.6,3916,3140,5.1
Eswatini,4002,,9.9,11.6,,0.61,3.08,,,0.83,10,,,49.4,,694,14,54.6,696,40.5,2.96,12.3,16.5,0.37,23.7,54.7,,1.75,57.7,,278,45.2,26.5,,,56.6,29.92,,,21.4
Ethiopia,828,,2.8,8.8,,0.49,3.38,,,0.75,31.3,0,0,50.7,9,,32,35,67,9.5,4.15,6.8,4.5,0.18,19.8,53.6,,2.43,68.7,7.9,99,13.6,17.4,4.7,234,44.14,18.26,240,1950,22.2
EU,,,,,,,,,,,,,,,,,,,,,1.5,,,,44,,,,,,,,,,,,,,,
Europe,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,78.2,,,,,,,,,,,
Falkland Islands,,,,,,,,,,0.94,0.1,0,,,,,,,,,,,,0.89,,,,,,,,,,,,,,,,
Faroe Islands,,,,,,,,,,0.95,0.1,,,,,,,,,,,,,0.99,37.2,,,,,,21,,,,,,,,,
Faroe Islands (Denmark),,,,,,,,,,,,,,,,,38,,,,2.4,,,,,,,,,,,,,,,,,,,
Federated States of Micronesia,,,,,,,,,,,,0,,,,,,,,,,,45.8,,26.3,,,,,,,,,,,,35.51,,,25.85
Fiji,6185,,3,,,0.74,5.72,,,0.64,6.3,0,,25.7,10,3096,18,36.7,372,9.5,2.75,32.7,30.2,0.51,29.9,62.2,,0.72,68,39.1,274,,27.7,3.9,,40.2,158.46,401,3000,24.4
Finland,48678,119.32,10.7,1.6,,0.94,9.2,41,0.28,0.7,1.8,0,0.01,2.4,15,,223,27.4,4457,13.4,1.35,29.1,22.2,0.88,42.8,74.9,,0.36,81.6,67.4,53,,31.2,6.9,8.8,430.76,1919.21,9368,3220,1.7
FR Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.6,,,,,,,,,,
France,40319,192.25,12.6,1.2,2.1,0.9,7.99,45,0.3,0.6,8.8,0.01,2.9,4.5,13,21786,230,31.6,5250,9.7,1.87,34.6,21.6,0.92,41.7,63.8,253,0.39,82.5,101.1,93,,30.8,5.4,45,241.31,1020.95,106799,3530,10.7
French Guiana,,,,13.2,,,,,,,0.9,0,,,,,,,,,,,,,,,,,,13.2,196,69.7,,,,,,,,
French Polynesia,21567,,,,,,,,,,0.1,0,,,,,,,,,1.93,,,0.74,33.3,,,,,112.2,211,,,,,93.56,,,2880,
Gabon,7773,,11.5,,,0.7,3.54,,,0.88,10,,,42.5,,3072,35,38,491,13.1,3.92,,15,0.49,21,56.3,106528,2.17,66.5,46,241,60.6,20.4,2.7,,30.16,30.2,,2710,25.05
Gambia,776,,3.8,,,0.5,4.49,,,0.04,95.7,,,51.7,12,,61,35.9,81,9.6,5.15,21.7,10.3,0.18,,,,2.93,65.5,,31,10.4,21.5,2.1,,45.71,14.91,14,2330,27.5
Gaza Strip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,4439,,9.8,2.2,,0.81,5.31,,0.81,0.89,10.7,,0.01,9.6,14,106,128,36.4,796,7.7,2.06,34.4,21.7,0.86,38.6,75.9,102,-0.27,73.3,26,245,99.1,26.6,3.8,760,149.26,137.4,581,2730,5.8
Germany,46232,120.93,13.4,0.9,1.4,0.95,8.67,30,0.4,0.55,6.55,0,0.74,3.8,14,22214,165,31.9,6098,8.3,1.54,33.6,22.3,0.94,47.8,73.5,571,0.2,81.7,82.1,69,,30.9,4.8,81.9,258.7,1255.9,79916,3540,8.4
Ghana,2203,51.93,2.7,2.1,,0.61,6.5,,0.95,0.71,17.6,0,,46.2,,482,30,43.5,168,10.5,3.82,6.5,10.9,0.14,21.4,57.5,3564,2.16,66.3,9.9,43,34.9,21.7,3.6,32.9,9.08,45.24,28,2900,27.2
Gibraltar,,,,3,,,,,,,4,,0,,,,,,,,,,,0.96,35.5,,,,,,139,,,,,,,,,
Great Britain,,,,,,,,,,,,,,,,,,,,,,35.2,,,,,,,,,,,,,,,,,,
Greece,19604,36.73,10.4,0.9,,0.89,7.39,40,0.71,0.93,3.85,0,0.03,3.8,15,10389,298,34.4,2340,3.6,1.35,50.2,24.9,0.75,45.3,57.7,285,-0.21,81.1,78.7,107,92.5,29.9,4.1,37.1,255.26,1036.57,6826,3710,15.4
Greenland,53353,,,5.3,,,,,,0.97,0.1,,,,,,2,,,,2.08,,,0.69,34.3,,,,,,225,,,,,,530.37,,,
Grenada,10818,54.65,9.3,10.8,,0.78,,,,0.97,0.3,,,16.5,,,66,,694,0.6,2.04,,21.3,0.57,33.3,,,0.46,72.9,97,413,96.2,31,3.2,1300,86.88,412.73,,2400,26.65
Guadeloupe,,,,5.8,,,,,,,0.4,,,,,,,,,,,,,,,,,,,12.7,168,82.9,,,,,,,,
Guam,,,,,,,,,,,0.1,0.01,,,,,,,,,2.29,,,0.8,29.4,,,,,,411,95.9,,,,,,,,
Guatemala,4363,,2.4,22.5,,0.66,4.97,,0.88,0.87,0.1,0,0.01,24.5,,3941,28,48.3,483,6.2,2.82,,21.2,0.4,23.2,62.6,544,1.94,72,23.8,139,50.7,21.3,2.8,315,46.6,5.8,1042,2150,23.45
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,44.3,,,,,,132,,,,,,,,,
Guinea,967,,1.3,,,0.48,3.08,,0.97,0.09,89.1,0,,98.8,10,,20,33.7,109,12.3,4.63,,7.7,0.12,19.1,55.7,,2.57,61,6.5,28,13.1,16.5,2.2,,20.62,2.26,,2550,25.7
Guinea-Bissau,688,,4.8,1.1,,0.48,2.63,,,0.1,45.1,,,78.5,16,390,94,50.7,123,12.4,4.4,,9.5,0.04,18,54,,2.44,60.2,13,10,19.5,20.9,2.1,,19.88,8,,2270,26.75
Guyana,6610,45.37,6.3,14.2,,0.68,6.01,,,0.64,7.3,0,,29.3,,2015,36,44.6,513,40.9,2.44,26.9,20.2,0.37,27.5,56.8,,0.57,65.7,31.8,239,49.9,21.5,6.3,,141.68,17.97,42,2740,26
Haiti,715,,5.8,6.7,,0.51,4.22,,0.85,0.96,0.1,0,,62.8,,1075,24,41.1,144,11.2,2.89,12.4,22.7,0.12,24.1,52.7,,1.2,64.1,15.3,97,8.5,23.7,2.5,34,18.98,2.61,,1850,24.9
Honduras,2575,,4,38.9,,0.63,5.36,,,0.88,0.3,0,,16.8,,2372,38,52.1,362,2.6,2.43,,21.4,0.31,24.4,60.2,,1.63,71.9,24.7,237,66.3,21.2,6,1235,91.33,4.69,102,2610,23.5
Hong Kong,49180,240.83,,0.7,,0.95,5.57,,0.24,0.12,4.1,0.13,,,10,9954,,,,,1.07,,,0.89,45.6,90.2,,,,,90,,28.9,3.3,2.4,105.85,,14603,,
Hungary,16879,193.8,11.4,2.5,,0.85,6.56,32,0.39,0.59,0.5,0,0.3,3.7,12,6647,160,30.6,2115,11.8,1.49,40,26.4,0.77,43.6,65,1426,-0.34,76.4,100.7,169,99.1,29.3,4.7,10,159.05,690.29,11645,3470,9.75
Iceland,71345,,9.1,0.9,,0.95,9.37,40,,0.75,0.2,0,,2,15,,81,26.8,5113,11.2,1.75,30.3,21.9,0.98,37.1,77.1,,0.77,82.3,84.8,33,,32.7,7.5,10.3,225.82,2022.49,1767,3260,1.75
India,2116,55.76,5.7,3.1,2.9,0.65,6.61,,0.9,0.02,14.6,0.01,0.03,34.3,7,709,20.2,37.8,275,12.9,2.2,48.9,3.9,0.62,28.7,55.2,554,1.1,70.8,5.2,35,45.4,22.2,3.1,15,84.5,100.39,90000,2360,23.65
Indonesia,4136,,0.8,0.4,,0.72,6.3,11,0.99,0.11,86.7,0.01,0,23.9,12,2477,37,39,375,2.6,2.29,41.8,6.9,0.79,31.1,65.8,3192,1.05,71.3,8.3,93,70.1,19,3.6,136,14.82,100.68,135081,2550,25.85
Iran,7282,,1,2.5,,0.78,2.2,,0.73,0,99.4,0,0.05,13.9,12,1275,2,40.8,1691,5.1,2.15,21.4,25.8,0.96,31.7,51.1,49714,1.04,77.3,23.1,228,36.8,23.8,4,1.9,46.69,590.54,102691,3050,17.25
Iraq,5730,,0.4,10.1,,0.67,3.62,,0.84,0.03,95.7,0,,25.9,9,2538,44,29.5,716,4.7,3.6,28,30.4,0.49,21.2,,119664,2.78,72.4,,126,20.4,25.3,3.5,304,22.18,158.01,,,21.4
Ireland,81637,112.81,13,0.9,,0.96,9.05,52,0.54,0.84,1.4,0,0.02,3.3,10,23395,701,32.8,5897,8.9,1.7,35.5,25.3,0.84,37.8,80.5,,0.78,81.8,106.3,74,,34.8,3.7,16,291.86,1488.79,,3590,9.3
Isle of Man,,,,0,,,,,,,0.2,,,,,,,,,,1.6,,,,44.6,,,,,,125,,,,,,,,,
Israel,46376,147.36,3.8,1.5,5.6,0.92,7.84,46,0.51,0.04,18,0,40,3.7,12,17842,33,39,3207,5.2,3.01,31.3,26.1,0.81,30.4,72.8,47,1.55,82.6,97.1,234,79.8,25,5.8,29,193.6,1459.76,8411,3530,19.2
Italy,33090,90.93,7.5,0.6,1.6,0.89,7.74,25,0.72,0.83,4.8,0,0.17,3.1,14,,141,35.9,3624,4.3,1.27,26.4,19.9,0.83,46.5,62.2,1189,-0.13,83,90.4,89,96.7,31.3,3.8,8.4,246.88,1175.05,61966,3650,13.45
Jamaica,5369,37.95,4.2,43.9,,0.73,7.13,,0.7,0.65,0.2,0,0,13.9,,2730,122,45.5,559,2.3,1.97,19.3,24.7,0.48,29.4,68.6,,0.29,76,56.8,137,66.6,33.2,5.4,,91.13,55.88,,2840,24.95
